threshold,num_samples,history_size,Precision@1,Precision@3,Precision@5,Precision@10
0.1,100,5,0.67,0.64,0.64,0.606
0.15,100,5,0.58,0.4633333333333334,0.44400000000000006,0.41600000000000004
0.2,100,5,0.28,0.2766666666666666,0.268,0.26199999999999996
0.25,100,5,0.23,0.22,0.19999999999999996,0.174
0.3,100,5,0.14,0.10333333333333332,0.10200000000000001,0.09700000000000002
