name,artist,distance,similarity_score
Never Be The Same,Red,0.013181329,0.9868187
Reinvention,As I Lay Dying,0.015172422,0.9848276
Back Round,Wolfmother,0.016370058,0.98362994
My Blue Heaven,Taking Back Sunday,0.021236002,0.978764
Don't Look Back in Anger,Oasis,0.023967326,0.9760327
Terra Nova,Edenbridge,0.024448454,0.97555155
A Trip Out,British Sea Power,0.024692178,0.9753078
Giving In,Adema,0.02696997,0.97303003
Sick,Evanescence,0.028680444,0.97131956
My Sacrifice,Creed,0.029117405,0.9708826
