name,artist,genre,tags,distance,similarity_score
Shine On,The Kooks,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",0.11339772,0.8866023
Bang Bang You're Dead,Dirty Pretty Things,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",0.12141973,0.8785803
Cigarettes & Alcohol,Oasis,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",0.122650445,0.87734956
Whatever's Left,Snow Patrol,Rock,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",0.12685621,0.8731438
You're All I Have,Snow Patrol,Rock,"rock, alternative, indie, alternative_rock, indie_rock, british, love, britpop",0.14517927,0.8548207
