threshold,num_samples,Precision@1,Precision@3,Precision@5,Precision@10
0.1,100,0.9,0.8900000000000001,0.8819999999999999,0.8460000000000001
0.15,100,0.85,0.8133333333333332,0.7900000000000001,0.7519999999999999
0.2,100,0.8,0.8033333333333332,0.7659999999999999,0.706
0.25,100,0.83,0.7733333333333333,0.748,0.706
0.3,100,0.85,0.7633333333333332,0.7240000000000001,0.677
